,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
180,2024-01-18,213.11413107349173,192.6016599615798,234.14120992881826,213.11413107349173,213.11413107349173,0.549861129062018,0.549861129062018,0.549861129062018,0.549861129062018,0.549861129062018,0.549861129062018,0.0,0.0,0.0,213.66399220255374
181,2024-01-19,212.53248869657162,192.96286481205095,233.35335490459573,212.53248869657162,212.53248869657162,0.03651386200530651,0.03651386200530651,0.03651386200530651,0.03651386200530651,0.03651386200530651,0.03651386200530651,0.0,0.0,0.0,212.56900255857693
182,2024-01-22,210.7875615658112,189.86821416060698,232.0258029308937,210.7875615658112,210.7875615658112,0.5435657732849684,0.5435657732849684,0.5435657732849684,0.5435657732849684,0.5435657732849684,0.5435657732849684,0.0,0.0,0.0,211.33112733909616
183,2024-01-23,210.20591918889104,192.19992902555336,232.17517184178894,210.20591918889104,210.20591918889104,2.4372843647893676,2.4372843647893676,2.4372843647893676,2.4372843647893676,2.4372843647893676,2.4372843647893676,0.0,0.0,0.0,212.64320355368042
184,2024-01-24,209.62427681197096,190.73429865063338,231.1853930632249,209.62427681197096,209.62427681197096,1.7368015040854887,1.7368015040854887,1.7368015040854887,1.7368015040854887,1.7368015040854887,1.7368015040854887,0.0,0.0,0.0,211.36107831605645
185,2024-01-25,209.042634431675,189.66226929318964,231.69154336412387,209.042634431675,209.042634431675,0.549861129061922,0.549861129061922,0.549861129061922,0.549861129061922,0.549861129061922,0.549861129061922,0.0,0.0,0.0,209.59249556073692
186,2024-01-26,208.46099205137904,188.7263271581079,229.14279395555639,208.46099205137904,208.46099205137904,0.036513862003878454,0.036513862003878454,0.036513862003878454,0.036513862003878454,0.036513862003878454,0.036513862003878454,0.0,0.0,0.0,208.49750591338292
187,2024-01-29,206.71606491049113,185.17530366676607,226.40627961261342,206.71606491049113,206.71606491049113,0.5435657732735769,0.5435657732735769,0.5435657732735769,0.5435657732735769,0.5435657732735769,0.5435657732735769,0.0,0.0,0.0,207.2596306837647
188,2024-01-30,206.13442253019517,187.74436618154968,228.83120747545613,206.13442253019517,206.13442253019517,2.4372843647904943,2.4372843647904943,2.4372843647904943,2.4372843647904943,2.4372843647904943,2.4372843647904943,0.0,0.0,0.0,208.57170689498565
189,2024-01-31,205.5527801498992,187.6604498731485,227.0801315457031,205.5527801498992,205.5527801498992,1.7368015040847053,1.7368015040847053,1.7368015040847053,1.7368015040847053,1.7368015040847053,1.7368015040847053,0.0,0.0,0.0,207.2895816539839
190,2024-02-01,204.97113776960325,186.15441297929314,226.95559694088988,204.97113776960325,204.97113776960325,0.5498611290626833,0.5498611290626833,0.5498611290626833,0.5498611290626833,0.5498611290626833,0.5498611290626833,0.0,0.0,0.0,205.52099889866594
191,2024-02-02,204.38949538930729,184.35816829246886,225.00285726421703,204.38949538930729,204.38949538930729,0.03651386200245004,0.03651386200245004,0.03651386200245004,0.03651386200245004,0.03651386200245004,0.03651386200245004,0.0,0.0,0.0,204.42600925130972
192,2024-02-05,202.64456824841943,183.64780067251584,223.92350654295646,202.64456824841943,202.64456824841943,0.5435657732750198,0.5435657732750198,0.5435657732750198,0.5435657732750198,0.5435657732750198,0.5435657732750198,0.0,0.0,0.0,203.18813402169445
193,2024-02-06,202.0629258746542,184.4600670569353,223.98017812800336,202.0629258746542,202.0629258746542,2.4372843647903006,2.4372843647903006,2.4372843647903006,2.4372843647903006,2.4372843647903006,2.4372843647903006,0.0,0.0,0.0,204.5002102394445
194,2024-02-07,201.48128350088902,182.1263826914262,222.71511504890088,201.48128350088902,201.48128350088902,1.7368015040839218,1.7368015040839218,1.7368015040839218,1.7368015040839218,1.7368015040839218,1.7368015040839218,0.0,0.0,0.0,203.21808500497295
195,2024-02-08,200.89964112712383,179.86320498324403,222.65598108774432,200.89964112712383,200.89964112712383,0.5498611290625871,0.5498611290625871,0.5498611290625871,0.5498611290625871,0.5498611290625871,0.5498611290625871,0.0,0.0,0.0,201.4495022561864
196,2024-02-09,200.31799875335867,180.38420761606596,221.89305621335197,200.31799875335867,200.31799875335867,0.036513862008377855,0.036513862008377855,0.036513862008377855,0.036513862008377855,0.036513862008377855,0.036513862008377855,0.0,0.0,0.0,200.35451261536704
197,2024-02-12,198.5730716320631,177.2438131896159,218.87784673108223,198.5730716320631,198.5730716320631,0.5435657732794671,0.5435657732794671,0.5435657732794671,0.5435657732794671,0.5435657732794671,0.5435657732794671,0.0,0.0,0.0,199.11663740534254
198,2024-02-13,197.9914292582979,179.1106723232929,218.33660462790093,197.9914292582979,197.9914292582979,2.4372843647901066,2.4372843647901066,2.4372843647901066,2.4372843647901066,2.4372843647901066,2.4372843647901066,0.0,0.0,0.0,200.42871362308802
199,2024-02-14,197.40978688453274,179.0693146255151,219.24572672871014,197.40978688453274,197.40978688453274,1.7368015040822602,1.7368015040822602,1.7368015040822602,1.7368015040822602,1.7368015040822602,1.7368015040822602,0.0,0.0,0.0,199.146588388615
200,2024-02-15,196.82814451076757,177.70474960456522,218.08845940089742,196.82814451076757,196.82814451076757,0.5498611290622294,0.5498611290622294,0.5498611290622294,0.5498611290622294,0.5498611290622294,0.5498611290622294,0.0,0.0,0.0,197.3780056398298
201,2024-02-16,196.24650213614223,176.4255429453354,218.1218921736815,196.24650213614223,196.24650213614223,0.036513862007356505,0.036513862007356505,0.036513862007356505,0.036513862007356505,0.036513862007356505,0.036513862007356505,0.0,0.0,0.0,196.28301599814958
202,2024-02-20,193.9199326376408,174.10193803169554,214.73429117371523,193.9199326376408,193.9199326376408,2.4372843647893245,2.4372843647893245,2.4372843647893245,2.4372843647893245,2.4372843647893245,2.4372843647893245,0.0,0.0,0.0,196.35721700243013
203,2024-02-21,193.33829026301547,174.44676878480226,216.2276768473549,193.33829026301547,193.33829026301547,1.7368015040805986,1.7368015040805986,1.7368015040805986,1.7368015040805986,1.7368015040805986,1.7368015040805986,0.0,0.0,0.0,195.07509176709607
204,2024-02-22,192.75664788839012,172.52339484690458,213.24554761112353,192.75664788839012,192.75664788839012,0.5498611290621331,0.5498611290621331,0.5498611290621331,0.5498611290621331,0.5498611290621331,0.5498611290621331,0.0,0.0,0.0,193.30650901745224
